AFFECT	INSUPP
AFFORDANCES	INSUPP
ATTRIBUTE-VALUE-RANGE	RET
CAUSE	COMPLEX
CHANGE-VEC	COMPLEX
CHANGE	COMPLEX
CONTAINS	RET
COUPLEDRELATIONSHIP	COMPLEX
EXAMPLES	RET
FREQUENCY	INSUPP
KINDOF	RET
MADEOF	RET
MAGNETISM	RET
NAMES	RET
PARTOF	RET
PROCESSROLES	COMPLEX
PROP-ANIMAL-ATTRIB	RET
PROP-CONDUCTIVITY	RET
PROP-ENVIRONMENTATTRIB	RET
PROP-HARDNESS	RET
PROP-INHERITEDLEARNED	RET
PROP-ORBITAL-ROT	INSUPP
PROP-QUANTITY-DATE	INSUPP
PROP-REL-DIST	RET
PROP-RESOURCES-RENEWABLE	RET
PROPERTIES-GENERIC	RET
PROTO-ACTION	INSUPP
PROTO-AVG-WEIGHT	RET
PROTO-CONSUMERS	RET
PROTO-CONVERSIONS	RET/LEX
PROTO-COUNTRY-HEMISPHERE	RET
PROTO-DURATIONS	INSUPP
PROTO-DURING	INSUPP
PROTO-FORMEDBY	INSUPP
PROTO-HABITAT	RET
PROTO-IF-THEN	COMPLEX
PROTO-INSTANCES	RET
PROTO-INTENSIVE-EXTENSIVE	RET
PROTO-LIFESPAN	RET
PROTO-LOCATIONS	RET
PROTO-MEASUREMENTS	RET
PROTO-OPPOSITES	INSUPP
PROTO-PERCEPTIONS	RET
PROTO-PROP-FLEX-RIGIDITY	RET
PROTO-PROP-RECYCLABLE	RET
PROTO-PROP-STATESOFMATTER	INSUPP
PROTO-PROP-STATESOFMATTER1	RET
PROTO-PROP-WARM-COLD-BLOODED	RET
PROTO-PROPERTIES-THINGS	RET
PROTO-SUBDIVISION-COUNTRY	RET
PROTO-SUBDIVISION-GENERICSPATIAL	RET
PROTO-WAVES	INSUPP
REQUIRES	INSUPP
SOURCEOF	RET
SYNONYMY	RET/LEX
TRANSFER	COMPLEX
UNIT	RET
USEDFOR	INSUPP
VEHICLE	INSUPP
XIVORE	RET