PROCESS_NAME	[FILL] means	ADJ/QUANTIFIER	ACTOR/WHO	QUANTIFIER/SCOPE	VERB	WHAT	[FILL] from	FROM	[FILL] into	INTO	[FILL] for	FOR/PURPOSE	[FILL] by/through	BY/THROUGH/HOW	SCOPE	QUANTITY/RANGE	[SKIP] COMMENTS	[SKIP] DEP	[SKIP] UID	
break down	means				change		from	a whole	into	pieces									400d-d80d-09a3-3206	
boiling;evaporation	means				change		from	a liquid	into	a gas			by	adding heat energy					a0b2-a45f-01e1-4bf4	
weathering	means				breaking down	rocks; surface materials	from	larger whole 	into	smaller pieces			by	weather					791e-1c71-7a1d-d10a	
disguise	means 				change	appearance					to	hide							ae70-e79a-1335-ece4	
photosynthesis	means		producers; green plants		convert		from	carbon dioxide, water, and solar energy	into	carbohydrates;food;oxygen	for	themselves							0962-4a47-4e17-ce97	
decomposition	is when a		decomposer		breaks down	dead organisms													f0e5-d444-871d-9ea3	
breathing 	is when a		lung		converts		from	oxygen in air	into	oxygen in blood									f99f-c36a-d00d-742d	
breathing	is when a		gill		converts		from	oxygen in water	into	oxygen in blood							# do we need a "for agent" (e.g. for fish) column?		571a-0a31-ad7b-e097	
melting	means				changing		from	a solid	into	a liquid			by	adding heat energy					6abc-4443-f672-9a97	
freezing	means				changing		from	a liquid	into	a solid			by	reducing heat energy					f03c-decc-030f-b860	
condensing	means				changing		from	a gas	into	a liquid			by	reducing heat energy					2aba-39fa-3a07-5ee4	
cellular respiration	is when a		cell		converts		from	oxygen and carbohydrates	into	carbon dioxide, water, and energy									7272-bf77-2331-1b55	
			babies		develop		from	babies	into	adults									4bd2-ea7f-6dec-3c54	
tearing	means				changing			a whole	into	pieces									23d7-086d-e662-8fd4	
			electrical devices		convert	electricity			into	other forms of energy									5e4d-6ae2-e556-9200	
replace	means				change		from	one thing	into 	another							# Very abstract		c75e-3346-5e3e-1b26	
refraction	is when		light		bends												# "Changes direction" might make more sense. 		dc5d-599a-9815-c89b	
mechanical weathering	is when		rocks		are broken down								by	mechanical means 					c387-e1db-3890-b003	
transpiration	is when		water vapor		moves		from	plants;leaves	into	the atmosphere									03c0-59bd-bf14-aaa0	
shedding	is when an		animal		loses	hair;fur;skin													7345-c073-962f-2597	
	a		light bulb		converts	electrical energy			into	light energy					when it is turned on				0259-62d6-90d1-5285	
glowing	means				producing	light													3b85-dd90-794d-80b6	
	a		solar panel		converts	sunlight			into	electricity									bc35-178c-432b-77f5	
	an	incandescent	light bulb		converts	electricity			into	light; heat			by	sending electricity through a filament 			# Row can be combined with another?		536f-f053-aca7-9bed	
crumple	means				change	shape	from	smooth	into	compacted;irregular			by	physical force			# 591		57f8-2232-d549-6dbc	
tearing	an		object		changes	that object's shape											#557		735e-0af2-549d-a69a	
		some	light bulbs		convert			electricity	into	light and heat energy 							# 1165		7f24-876a-678f-6339	
killing	means				changing	a living thing	from	alive	to	dead			by	harming			# 817		ba9c-311b-f2d0-caa9	
		extreme	heat and pressure		change; metamorphose	rock			into	metamorphic rock							# 822		a029-482a-dd71-9829	
breaking down	an		object		changes	that object's shape and mass											# 1302		9697-ac7b-6ca7-7421	
	a		filament		produces	light							by	becoming so hot that it glows			# 1217, belongs?		e8a3-8aa3-fa7f-cb91	
	a		windmill		converts	wind energy			into	electricity							# Q 455		d68e-b9c5-62d5-f63e	
seed dispersal	is when the		seeds	of a plant	are moved		from	the plant	to 	a new environment									2b90-a4f5-326a-d34f	
	the		digestive system		breaks	food			into	nutrients	for 	the body					# Q 78		c154-aa1a-96fe-291c	
metamorphosis	is when an		animal		changes		from 	an immature form	to	an adult form							# Q 610		fc9b-e584-5d83-bb7a	
			mining		changes	an ecosystem											#548		61ef-2bed-1bb3-4f10	
hunting	means		humans		kill	animals									in the wild		#548		54ee-e44b-06a1-c4cf	
a phase change	is when		matter; a substance		changes		from	one state	into	another state									72bd-5535-598e-82e8	
			phase changes	do not	change	mass											# Q 665		e6a7-0f6f-8904-60da	
condensation	is when				change		from	a gas	into	a liquid			by	reducing heat energy			#764		2c44-c2fa-bff1-5946	
		some	flowers		become	fruits											#835		8fe8-675d-6005-472c	
	an		earthquake		changes	Earth's surface									quickly		# Q 666		d08c-6817-560e-4660	
			farming		changes	the environment											#892		b6e6-07f0-9768-dc45	
			tadpole		changes	into a frog											#1023		ac3a-0599-cef5-f015	
			potential energy		changes	to kinetic energy							through	motion			#1032		c9b6-9842-0512-9757	
	a		flashlight		converts			chemical energy	into	light energy							# Q 978		d2c1-85ff-d317-0612	
			moving		changes	position											# Q 944		fe39-10c4-9dd9-d745	
			something	in a cold place	becomes	cold											#807		3feb-296d-6a76-286f	
	a		toaster		converts	electrical energy			into	heat energy	for	toasting					#1383		a4f3-2cdc-e2e8-292d	
			being burried	under soil and mud	changes	peat			into	coal			through	extreme heat and pressure	in a swamp over a long period of time		# Q 1137		b9b5-a8fe-7c6e-bde2	
			being burried	under soil and mud	changes	vegetation			into	peat			through	extreme heat and pressure	in a swamp over a long period of time		# Q 1137		43e2-442b-4572-2279	
			being burried	under soil and mud	changes	plant and animal matter			into	oil			through	extreme heat and pressure	at the bottom of the sea over a long period of time		# Q 1192		1661-ce4a-34f0-7409	
	a		battery		converts	chemical energy			into	electrical energy							# Q 1162		e83b-d62e-d528-3e9f	
			moving		changes	stored energy			into	motion and heat							# Q 1516		48d9-21f5-7bf4-c99e	
	a		car engine	usually	converts	gasoline			into	motion and heat			through	combustion			# Q 1791		144d-b049-cabe-6198	
	a		doorbell		converts	electrical energy			into	sound							# Q 1904		c334-b118-4a5a-13dc	
			heat and pressure		change	the remains of prehistoric living things			into	natural gas							# Q 1959		e239-f208-23e0-a9cb	
ecological succession	means	entire	communities	in an ecosystem	change										over time		# Q 1962		0ff9-ee4f-fb1b-1627	
			bees		convert	nectar			into	honey							#2108		a6ad-5582-fb3b-6c50	
			heat	can	change	the state of matter											# Q 1994		7909-f63c-46d1-01a2	
	the		phases of the Moon		change	the appearance of the Moon													8987-49e2-b4bd-59bd	
	the	type of	material	through which sound passes	changes	the speed 									at which sound travels				35de-03a6-5a5e-50e6	
